岗位名称,公司名称,公司规模,工作地区,学历要求,工作经验,薪资,联系电话,工作地点,全职/兼职,岗位描述
缝包工,广东巨农生物科技有限公司,50-99人,广东省惠州市博罗县,无学历要求,无工作经验要求,面议,136****9545,博罗县麻陂镇大马路80号,全职,"1、要上夜班，工资5-6K；
2、需要会开叉车，有叉车证；                 公司福利：五险一金、包吃，外地提供住宿补贴、每月10号准时发工资

"
商务助理,广东新正机场建设管理有限责任公司,50-99人,广东省深圳市宝安区,大学专科,1-3年,5000-8000元/月,,深圳市宝安区福海街道桥头社区福瑞路1号立新湖创意园2号楼110,全职,"岗位职责：
（1）负责市场项目信息收集、整理、统计；
（2）负责招标信息筛选，投标文件的制作及相关工作协调；
（3）负责投标文件的编制、开标等；  
（4）负责项目中标后与业主沟通合同事宜，签订合同；
（5）合同履约过程中，督促项目进度，催收项目款。
（6）有机场相关工作经验可优先考虑。

任职要求：
（1）市场营销、工程类类专业优先；
（2）专科及以上学历；
（3）应届毕业生及有相关工作经验者均可。
（4）有机动车驾驶证，熟练驾驶机动车；"
建筑施工图设计,广东新正机场建设管理有限责任公司,50-99人,广东省深圳市宝安区,大学专科,1-3年,4000-8000元/月,,深圳市宝安区福海街道桥头社区福瑞路1号立新湖创意园2号楼110,全职,"岗位职责：

1、负责公司项目方案效果图、施工方案图的编制和设计

2、建筑知识扎实掌握多种电脑软件，擅长CAD、3Dmax

3、负责公司项目现场踏勘和各类方案和图纸制作和汇报

4、负责完成领导交办的其他任务，服从公司领导安排


任职要求：

1、大专学历及以上，熟悉基本的工程制图识图，建筑设计等设计相关专业，有相关工作经验。

2、熟练操作CAD、3DMAX 、Sketchup 等设计建模软件，掌握各种建模、渲染及表现技法。

3、熟悉土建和机电安装图纸，能独立而高效地完成图纸制作；

4、工作敬业，细心高效，具有团队合作精神。

上下班时间：
08：30—12：00  14：00—18：00   
大小周（单双休）"
业务员,广东新正机场建设管理有限责任公司,50-99人,广东省深圳市,大学专科,1-3年,4000-8000元/月,,广东省深圳市宝安区福瑞路2号,全职,"岗位职责:1、负责公司业务销售工作和项目拓展，熟练掌握商务、社交礼仪_负责业务前期考察、商务洽谈，编制项目准备书、投标方案、合同拟定、反馈沟通及款项催收等；2、负责合同管理、销售流程、产品报价、客户服务等规章制度的建立和改进，并组织落实；3、负责监督规划设计项目回款进度，深度挖掘客户潜在的需求；4、负责市场销售团队建设，人员培养，参与部门规章制度的制定与管理；5、掌握了解市场动态及行业动态，及时定期汇报公司领导，并提出合理化建议；6、完成领导临时交办的其他工作。 
     任职资格：1.市场营销、建筑工程等相关专业；2.有房地产工作经验，或电话销售经验者优先考虑；3.综合素质高，具有敏锐的市场洞察力和谈判能力，善于与人沟通，能够吃苦耐劳，热爱市场销售工作；4.较高的敬业精神和职业素养，对公司、客户有责任心，诚信务实；5.具备优秀的人际交往沟通能力及服务意识，优秀的谈判技巧与能力；6.能接受短期出差_综合条件特别优秀或具备丰富相关从业经验者，购买社保。绩效工资另算"
建筑施工项目经理,广东新正机场建设管理有限责任公司,50-99人,广东省深圳市宝安区,大学专科,1-3年,6000-9000元/月,,深圳市宝安区福海街道桥头社区福瑞路1号立新湖创意园2号楼110,全职,"岗位职责：
1、负责组织实施项目施工组织设计及既定的方针目标，负责项目计划统计、安全生产、文明施工、施工机械设备、材料、人员等各项管理协调、调配工作；
2、负责工程的具体执行，与甲方、监理单位沟通协调和资料对接
3、组织施工现场材料的进场验收和进场方案编制和相关资料的报审报验
4、负责竣工验收和竣工结算等

任职要求：
1、熟悉施工现场流程，对各工序有较强把控能力，有较强的施工方案和技术交底编制能力；
2、有丰富的一线施工管理经验，熟悉和了解工程项目特点，熟悉土建和机电、钢结构施工工序要求。
3、必须持有广东省机电工程专业二级建造师及以上执业资格，具备有效的安全生产考核合格证书（B类）。
4，持有建筑电工特种作业证优先考虑，熟悉中建系统施工现场工序和要求。
5、服从公司安排，性格外向开朗，有较强的人际交往和沟通能力。需要经常外出省内外项目驻场，非办公室的，月休四天。"
安保员（退伍军人）,广州岭南酒店物业管理有限公司岭业物业管理分公司,,广东省广州市番禺区,无学历要求,无工作经验要求,4900-5000元/月,159****4836,广东省广州市番禺区石楼镇,全职,退伍军人，175以上，40以下，半军事化管理，主要负责外围值班、门岗值班、监控室值班。
佛山顺德新店开业 小象超市驻店外卖配送员-免费提供外卖电动车-免费提供住宿,海耀星途（广州）互联网科技有限公司,49人及以下,广东省佛山市顺德区,无学历要求,无工作经验要求,9000-13000元/月,157****9989,佛山顺德大良,全职,"超市驻店配送员岗位-免费提供外卖电动车-免费提供宿舍
1.只送一个门店的订单，取货只在一个地方2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单
3.全是顺路单，配送范围小，两公里内的社区骑手
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全
勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押-无任何租金)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州所有区域均有站点，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送
员，骑手，生鲜配送，水果配送，商超配送蔬菜面
送，固定位置取货配送，上手简单，有老骑手带"
中山石岐区-小象超市驻店配送员 包住+免费提供外卖电动车,海耀星途（广州）互联网科技有限公司,49人及以下,广东省中山市,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省中山市石岐街道悦华街10号,全职,"1.只送一个门店的订单，取货只在一个地方。
2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单。
3.全是顺路单，配送范围小，两公里内的社区骑手。
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全。
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送员，骑手，生鲜配送，水果配送，商超配送蔬菜面送，固定位置取货配送，上手简单，有老骑手带。"
中山西区-小象超市驻店配送员-包住 免费提供外卖电动车,海耀星途（广州）互联网科技有限公司,49人及以下,广东省中山市西区街道办事处,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省中山市富华道金嘉创新港1层105卡,全职,"1.只送一个门店的订单，取货只在一个地方。
2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单。
3.全是顺路单，配送范围小，两公里内的社区骑手。
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州-佛山-中山所有区域均有站点门店，上班离家近，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送员，骑手，生鲜配送，水果配送，商超配送蔬菜面送，固定位置取货配送，上手简单，有老骑手带。"
中山东区-小象超市驻店配送员 包住+免费提供外卖电动车,海耀星途（广州）互联网科技有限公司,49人及以下,广东省中山市东区街道办事处,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省中山市东江路长宝羽毛球俱乐部斜对面,全职,"1.只送一个门店的订单，取货只在一个地方。
2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单。
3.全是顺路单，配送范围小，两公里内的社区骑手。
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州-佛山-中山所有区域均有站点门店，上班离家近，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送员，骑手，生鲜配送，水果配送，商超配送蔬菜面送，固定位置取货配送，上手简单，有老骑手带。"
广州天河区-小象超市驻店外卖配送员 免费提供外卖电动车-免费提供住宿,海耀星途（广州）互联网科技有限公司,49人及以下,广东省广州市,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省广州市天河区石牌街道石牌东路123号,全职,"超市驻店配送员岗位-免费提供外卖电动车-包住
1.只送一个门店的订单，取货只在一个地方2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单
3.全是顺路单，配送范围小，两公里内的社区骑手
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全
勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任压金)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州所有区域均有站点，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送
员，骑手，生鲜配送，水果配送，商超配送蔬菜面
送，固定位置取货配送，上手简单，有老骑手带"
广州海珠区-小象超市驻店配送员 免费提供外卖电动车 免费提供住宿,海耀星途（广州）互联网科技有限公司,49人及以下,广东省广州市海珠区,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省广州市海珠区昌岗街道江南大道南362号,全职,"超市驻店配送员岗位
1.只送一个门店的订单，取货只在一个地方2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单
3.全是顺路单，配送范围小，两公里内的社区骑手
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全
勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任勾押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州所有区域均有站点，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送
员，骑手，生鲜配送，水果配送，商超配送蔬菜面
送，固定位置取货配送，上手简单，有老骑手带"
广州荔湾区-小象超市驻店外卖配送员-免费提供外卖电动车-免费提供住宿,海耀星途（广州）互联网科技有限公司,49人及以下,广东省广州市,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省广州市荔湾区冲口街道坑口大街125,全职,"超市驻店配送员岗位-免费提供外卖电动车-包住
1.只送一个门店的订单，取货只在一个地方2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单
3.全是顺路单，配送范围小，两公里内的社区骑手
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全
勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任压金)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州所有区域均有站点，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送
员，骑手，生鲜配送，水果配送，商超配送蔬菜面
送，固定位置取货配送，上手简单，有老骑手带"
广州增城区-小象超市驻店外卖配送员-免费提供外卖电动车-免费提供住宿,海耀星途（广州）互联网科技有限公司,49人及以下,广东省广州市,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省广州市增城区新塘镇广深大道西115,全职,"超市驻店配送员岗位:零元入职+免费提供外卖电动车+免费提供宿舍
1.只送一个门店的订单，取货只在一个地方2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单
3.全是顺路单，配送范围小，两公里内的社区骑手
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全
勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任勾押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州所有区域均有站点，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送
员，骑手，生鲜配送，水果配送，商超配送蔬菜面
送，固定位置取货配送，上手简单，有老骑手带"
广州白云区-小象超市驻店配送员-免费提供外卖电动车-免费提供宿舍,海耀星途（广州）互联网科技有限公司,49人及以下,广东省广州市白云区,职业高中,1年以下,9000-13000元/月,157****9989,广东省广州市白云区棠景街道机场路585号,全职,"小象超市驻店配送员-岗位
免费提供外卖电动车-免费提供住宿
1.只送一个门店的订单，取货只在一个地方。
2.配送的都是小件生活用品，都是打包好的，直接拿走配送，不用等单。
3.全是顺路单，配送范围小，两公里内的社区骑手。
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-15000(上不封顶)综合补贴:底薪+全勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱全 ）
8，当天直接安排住宿、安排上岗。
9，每月发薪两次，可预支工资做生活费。"
宝妈销售,佛山市永盛房地产代理有限公司,50-99人,广东省佛山市高明区,无学历要求,无工作经验要求,2500-10000元/月,189****3603,佛山市高明区荷城街道祥福路130号123铺（住所申报）,全职,"1、初中以上学历；
2、薪酬福利：周末双休，上班时间：9:00-12:00，下午14:00-17:00；法定假期休息；
     无责任底薪+高额提成(最高达40-60%)+现金奖+旅游+各种专业培训 ，购社保；
"
置业顾问,佛山市永盛房地产代理有限公司,50-99人,广东省佛山市高明区,无学历要求,无工作经验要求,3000-10000元/月,189****3603,佛山市高明区荷城街道祥福路130号123铺（住所申报）,全职,"任职要求：
1、初中以上学历，欢迎优秀应届毕业生；
2、薪酬福利：无责任底薪+高额提成(最高达50%)+现金奖+旅游+各种专业培训 ，购社保；
3、退伍军人每月补贴300~500元。"
二手房销售主管,佛山市永盛房地产代理有限公司,50-99人,广东省佛山市高明区,无学历要求,无工作经验要求,4000-15000元/月,189****3603,佛山市高明区荷城街道祥福路130号123铺（住所申报）,全职,"1、负责销售的日常管理工作
2、及时做好各种统计工作，按时准确完成各项业务报表；
3、督促置业顾问按时认真完成各项阶段性的工作，指导工作；
4、具有带领团队凝聚力以及管理能力；
5、勤勉用心，以身作则，刻苦耐劳，能承受一定的工作压力；
6、房地产销售工作经验者更佳。
7、5000/月+提成百分之40%-60%+公佣。
主动来电者更佳"
新媒体专员,佛山市永盛房地产代理有限公司,50-99人,广东省佛山市高明区,大学专科,无工作经验要求,4000-5000元/月,189****3603,佛山市高明区荷城街道祥福路130号123铺（住所申报）,全职,懂基本摄影、剪辑视频及文案能力，愿意出镜
电工、维修工,江门市景隆橡塑有限公司,100-299人,广东省江门市新会区,无学历要求,无工作经验要求,4000-7500元/月,134****8320,江门市新会区三江镇联和村苕子地,全职,设备维护及维修
织造工,江门市景隆橡塑有限公司,100-299人,广东省江门市新会区,无学历要求,无工作经验要求,4000-7500元/月,134****8320,江门市新会区三江镇联和村苕子地,全职,按产计酬
整经工,江门市景隆橡塑有限公司,100-299人,广东省江门市新会区,无学历要求,无工作经验要求,4500-8000元/月,134****8320,江门市新会区三江镇联和村苕子地,全职,按产计酬
中医技师,深圳光芯城科技有限公司,49人及以下,广东省深圳市宝安区,中等专科,无工作经验要求,面议,191****2877,深圳市宝安区新安街道华创达创客联盟B座,实习,招聘中医辅助医疗护理员，中医辅助治疗技师，中医推拿师。需要有从业资格证书，无证书者可以提供培训补贴。
养老护理员,深圳光芯城科技有限公司,49人及以下,广东省深圳市宝安区,中等专科,无工作经验要求,面议,191****2877,深圳市宝安区新安街道华创达创客联盟B座,实习,招聘专业养老陪护人员，公司提供陪护任务，时间根据陪护员及客户需求灵活安排。
医疗护理员,深圳光芯城科技有限公司,49人及以下,广东省深圳市宝安区,中等专科,无工作经验要求,面议,191****2877,深圳市宝安区新安街道华创达创客联盟B座,实习,招聘专业医疗护理员，护理专业优先考虑，需要有资格证书，未考证的学生可提供培训补贴。
主管/主任楼面中高层管理,江门市遇见餐饮管理有限公司,100-299人,广东省江门市蓬江区,中等专科,无工作经验要求,4000-5500元/月,155****9976,广东省江门市蓬江区环市街道建设二路99号,全职,"【岗位职责】
1、在不同的工作岗位上服务顾客，协助餐厅达到较佳的质量、服务、清洁及物超所值；
2、向顾客介绍和推荐本餐厅饮品及特色菜点；
3、充满热情，学习能力强，适应变革具备良好的沟通技巧和不断学习的能力、团队合作精神及工作责任心； 
4、积极参加培训，不断提高服务技能；


【任职要求】
1.年满22以上，有志于餐饮服务业； 
2.具有良好的顾客服务意识，善于沟通，充满热情； 
3.学习能力强，适应变革，具备良好的沟通技巧和不断学习的能力、具有团队合作精神及工作责任心 ；
4.工作踏实、细心、有责任感，为人诚恳；
5.上班时间：月休4天，能接受晚班（非固定一个班）

【福利待遇】
1.试用期三个月，提供食宿（含早中午晚餐+夜宵），宿舍4-6人/间，环境干净整洁；
2.每月20号准时出粮；
3.团队年轻人为主，氛围好，不定期下午茶，老板很nice
4.好申请休息

本公司实行24小时营业制，分三班，9小时/班，一个月转一次班。
早班：7：00－16：00或8：00－17：00
晚班：16：00－1：00或17：00－2：00
卡班：8：00－14：00　　18：00－21：00

【晋升路径】管理线： 服务员→组长→部长→主任→储备店长→店长"
连锁中式快餐店店助,江门市遇见餐饮管理有限公司,100-299人,广东省江门市蓬江区,大学专科,无工作经验要求,4000-5000元/月,155****9976,江门市遇见餐饮管理有限公司,全职,"小丁故事深耕餐饮行业，以招牌生焗排骨饭闻名，凭借独特风味与优质服务，在连锁餐饮市场稳步扩张。现因业务发展需要，诚招店助，邀你一同开启餐饮事业新征程！​
岗位职责​
全岗协同：接受前厅后厨通岗工作，前厅需热情接待顾客、高效点餐收银、维护就餐秩序；后厨协助食材处理、菜品制作，保障出餐效率与质量。​
运营支持：协助店长进行日常运营管理，执行门店服务标准，确保卫生、安全规范落实到位，及时处理顾客反馈与突发问题。​
学习成长：主动学习门店运营知识、产品制作工艺与服务技巧，快速适应岗位需求，在实践中不断提升个人能力。​
任职要求​：身体健康，能适应餐饮行业工作节奏。​
热爱餐饮行业，有明确的职业发展意向，渴望在餐饮领域长期发展。​
具备强烈的上进心与学习能力，上手快，能快速掌握前厅后厨工作技能。​
性格开朗，善于沟通，团队协作能力强，能接受后厨工作环境。
上班时间：上午：10:00-14:30   下午17：00-22:30 
下午时间段休息 月/休4天
接受无经验带训，愿意发展餐饮行业。这个岗位未来将向店长管理层发展储备"
餐厅服务员,江门市遇见餐饮管理有限公司,100-299人,广东省江门市蓬江区,大学本科,无工作经验要求,4000-5500元/月,155****9976,江门市遇见餐饮管理有限公司,全职,"【岗位职责】
1、在不同的工作岗位上服务顾客，协助餐厅达到较佳的质量、服务、清洁及物超所值；
2、向顾客介绍和推荐本餐厅饮品及特色菜点；
3、充满热情，学习能力强，适应变革具备良好的沟通技巧和不断学习的能力、团队合作精神及工作责任心； 
4、积极参加培训，不断提高服务技能；


【任职要求】
1.年满22以上，有志于餐饮服务业； 
2.具有良好的顾客服务意识，善于沟通，充满热情； 
3.学习能力强，适应变革，具备良好的沟通技巧和不断学习的能力、具有团队合作精神及工作责任心 ；
4.工作踏实、细心、有责任感，为人诚恳；
5.上班时间：月休4天，能接受晚班（非固定一个班）

【福利待遇】
1.试用期三个月，提供食宿（含早中午晚餐+夜宵），宿舍4-6人/间，环境干净整洁；
2.每月20号准时出粮；
3.团队年轻人为主，氛围好，不定期下午茶，老板很nice
4.好申请休息

本公司实行24小时营业制，分三班，9小时/班，一个月转一次班。
早班：7：00－16：00或8：00－17：00
晚班：16：00－1：00或17：00－2：00
卡班：8：00－14：00　　18：00－21：00

【晋升路径】管理线： 服务员→组长→部长→主任→储备店长→店长"
保洁员,东莞市莞城物业管理有限公司,,广东省东莞市莞城街道办事处,无学历要求,无工作经验要求,2080-3000元/月,076****1540,东莞市莞城各物业,全职,岗位职责：1.主要负责物业项目内清洁服务工作；2.能按要求完成上级领导安排的各项工作任务，服从临时安排的工作
绿化员,东莞市莞城物业管理有限公司,,广东省东莞市莞城街道办事处,无学历要求,无工作经验要求,2080-3000元/月,076****1540,东莞市莞城各物业,全职,岗位职责：主要负责物业项目内广场绿化、园林景观管理等工作；能按要求完成上级领导安排的各项工作任务，服从临时安排的工作
